state,year,total
ACT,1924,7
ACT,1925,457
ACT,1926,4506
ACT,1927,12071
ACT,1928,27646
ACT,1929,28485
ACT,1930,28393
ACT,1931,25582
ACT,1932,24668
ACT,1933,23362
ACT,1934,23425
ACT,1935,21861
ACT,1936,20446
ACT,1937,23521
ACT,1938,22398
ACT,1939,25782
ACT,1940,25021
ACT,1941,23440
ACT,1942,24680
ACT,1943,23392
ACT,1944,22386
ACT,1945,24117
ACT,1946,28498
ACT,1947,30053
ACT,1948,30702
ACT,1949,28692
ACT,1950,26609
ACT,1951,26228
ACT,1952,27242
ACT,1953,26697
ACT,1954,22901
ACT,1955,22341
ACT,1956,26211
ACT,1957,29905
ACT,1958,33856
ACT,1959,34475
ACT,1960,34189
ACT,1961,37946
ACT,1962,41999
ACT,1963,53669
ACT,1964,60285
ACT,1965,65102
ACT,1966,64315
ACT,1967,63222
ACT,1968,64259
ACT,1969,65826
ACT,1970,64189
ACT,1971,66765
ACT,1972,61694
ACT,1973,59528
ACT,1974,61443
ACT,1975,58575
ACT,1976,60360
ACT,1977,62319
ACT,1978,68391
ACT,1979,75396
ACT,1980,73349
ACT,1981,73070
ACT,1982,76922
ACT,1983,82910
ACT,1984,74120
ACT,1985,78702
ACT,1986,77160
ACT,1987,74870
ACT,1988,83171
ACT,1989,82512
ACT,1990,81543
ACT,1991,85022
ACT,1992,82242
ACT,1993,81020
ACT,1994,78559
ACT,1995,80121
ACT,1996,839
ACT,1997,838
ACT,1998,770
ACT,1999,99
ACT,2001,129
ACT,2002,667
ACT,2003,742
ACT,2004,675
ACT,2005,478
ACT,2006,398
ACT,2007,271
New South Wales,1803,526
New South Wales,1804,619
New South Wales,1805,430
New South Wales,1806,367
New South Wales,1807,134
New South Wales,1808,155
New South Wales,1809,237
New South Wales,1810,269
New South Wales,1811,228
New South Wales,1812,208
New South Wales,1813,234
New South Wales,1814,201
New South Wales,1815,226
New South Wales,1816,485
New South Wales,1817,685
New South Wales,1818,789
New South Wales,1819,717
New South Wales,1820,815
New South Wales,1821,739
New South Wales,1822,821
New South Wales,1823,957
New South Wales,1824,1212
New South Wales,1825,2157
New South Wales,1826,3863
New South Wales,1827,5033
New South Wales,1828,5055
New South Wales,1829,6505
New South Wales,1830,5706
New South Wales,1831,6686
New South Wales,1832,8540
New South Wales,1833,8635
New South Wales,1834,10593
New South Wales,1835,12426
New South Wales,1836,13003
New South Wales,1837,13845
New South Wales,1838,13924
New South Wales,1839,16201
New South Wales,1840,20625
New South Wales,1841,20496
New South Wales,1842,16985
New South Wales,1843,17179
New South Wales,1844,21013
New South Wales,1845,19385
New South Wales,1846,18156
New South Wales,1847,21601
New South Wales,1848,18747
New South Wales,1849,16106
New South Wales,1850,18025
New South Wales,1851,29605
New South Wales,1852,31800
New South Wales,1853,32142
New South Wales,1854,36789
New South Wales,1855,43882
New South Wales,1856,52244
New South Wales,1857,56244
New South Wales,1858,51424
New South Wales,1859,54387
New South Wales,1860,65850
New South Wales,1861,66982
New South Wales,1862,64537
New South Wales,1863,64088
New South Wales,1864,67505
New South Wales,1865,70110
New South Wales,1866,71392
New South Wales,1867,68846
New South Wales,1868,69264
New South Wales,1869,78208
New South Wales,1870,96479
New South Wales,1871,95901
New South Wales,1872,107558
New South Wales,1873,108859
New South Wales,1874,119571
New South Wales,1875,112203
New South Wales,1876,116878
New South Wales,1877,122554
New South Wales,1878,137705
New South Wales,1879,158908
New South Wales,1880,161578
New South Wales,1881,168442
New South Wales,1882,173551
New South Wales,1883,176234
New South Wales,1884,199948
New South Wales,1885,224967
New South Wales,1886,246123
New South Wales,1887,233131
New South Wales,1888,241415
New South Wales,1889,303894
New South Wales,1890,335266
New South Wales,1891,361943
New South Wales,1892,382750
New South Wales,1893,388417
New South Wales,1894,403840
New South Wales,1895,458157
New South Wales,1896,492882
New South Wales,1897,485108
New South Wales,1898,562991
New South Wales,1899,674884
New South Wales,1900,737659
New South Wales,1901,761557
New South Wales,1902,784233
New South Wales,1903,779698
New South Wales,1904,818513
New South Wales,1905,836883
New South Wales,1906,869890
New South Wales,1907,934944
New South Wales,1908,877919
New South Wales,1909,897785
New South Wales,1910,933438
New South Wales,1911,1092177
New South Wales,1912,1154729
New South Wales,1913,1172063
New South Wales,1914,1255131
New South Wales,1915,1265137
New South Wales,1916,1193587
New South Wales,1917,1082953
New South Wales,1918,1050872
New South Wales,1919,1085722
New South Wales,1920,985300
New South Wales,1921,996873
New South Wales,1922,993284
New South Wales,1923,1050885
New South Wales,1924,1084986
New South Wales,1925,1101484
New South Wales,1926,1090813
New South Wales,1927,1128643
New South Wales,1928,1149192
New South Wales,1929,1224755
New South Wales,1930,1220766
New South Wales,1931,1098009
New South Wales,1932,1073596
New South Wales,1933,1121809
New South Wales,1934,1150749
New South Wales,1935,1167933
New South Wales,1936,1202510
New South Wales,1937,1209896
New South Wales,1938,1208518
New South Wales,1939,1123114
New South Wales,1940,940888
New South Wales,1941,865814
New South Wales,1942,703279
New South Wales,1943,641846
New South Wales,1944,649239
New South Wales,1945,679905
New South Wales,1946,757855
New South Wales,1947,750251
New South Wales,1948,703457
New South Wales,1949,745393
New South Wales,1950,766733
New South Wales,1951,745680
New South Wales,1952,743553
New South Wales,1953,782020
New South Wales,1954,795648
New South Wales,1955,53842
New South Wales,1956,21472
New South Wales,1957,30490
New South Wales,1958,32043
New South Wales,1959,27491
New South Wales,1960,22866
New South Wales,1961,19052
New South Wales,1962,16655
New South Wales,1963,10651
New South Wales,1964,9613
New South Wales,1965,10029
New South Wales,1966,8794
New South Wales,1967,8716
New South Wales,1968,9186
New South Wales,1969,7276
New South Wales,1970,7485
New South Wales,1971,925
New South Wales,1972,481
New South Wales,1999,787
New South Wales,2000,1022
New South Wales,2001,1106
New South Wales,2002,1319
New South Wales,2003,1015
New South Wales,2004,664
New South Wales,2005,57
Northern Territory,1869,56
Northern Territory,1873,191
Northern Territory,1874,1409
Northern Territory,1875,1009
Northern Territory,1876,925
Northern Territory,1877,923
Northern Territory,1878,1270
Northern Territory,1879,1245
Northern Territory,1880,1346
Northern Territory,1881,1389
Northern Territory,1882,1560
Northern Territory,1883,2224
Northern Territory,1884,3827
Northern Territory,1885,3482
Northern Territory,1886,2920
Northern Territory,1887,3395
Northern Territory,1888,3326
Northern Territory,1889,3115
Northern Territory,1890,2396
Northern Territory,1891,2509
Northern Territory,1892,2624
Northern Territory,1893,2681
Northern Territory,1894,2623
Northern Territory,1895,2565
Northern Territory,1896,2490
Northern Territory,1897,2710
Northern Territory,1898,2759
Northern Territory,1899,3038
Northern Territory,1900,1952
Northern Territory,1901,2041
Northern Territory,1902,2136
Northern Territory,1903,1967
Northern Territory,1904,1927
Northern Territory,1905,1903
Northern Territory,1906,1707
Northern Territory,1907,2147
Northern Territory,1908,1910
Northern Territory,1909,1165
Northern Territory,1910,1161
Northern Territory,1911,1510
Northern Territory,1912,1340
Northern Territory,1913,2527
Northern Territory,1914,3497
Northern Territory,1915,3955
Northern Territory,1916,3532
Northern Territory,1917,4268
Northern Territory,1918,6320
Northern Territory,1919,6325
Northern Territory,1920,5101
Northern Territory,1921,10540
Northern Territory,1922,8064
Northern Territory,1923,7906
Northern Territory,1924,7776
Northern Territory,1925,7582
Northern Territory,1926,6829
Northern Territory,1927,9170
Northern Territory,1928,10375
Northern Territory,1929,10258
Northern Territory,1930,10320
Northern Territory,1931,11302
Northern Territory,1932,9111
Northern Territory,1933,6565
Northern Territory,1934,7336
Northern Territory,1935,7506
Northern Territory,1936,8610
Northern Territory,1937,7504
Northern Territory,1938,7260
Northern Territory,1939,8055
Northern Territory,1940,6551
Northern Territory,1941,6534
Northern Territory,1942,4634
Northern Territory,1943,9842
Northern Territory,1944,20643
Northern Territory,1945,22097
Northern Territory,1946,1942
Northern Territory,1947,6137
Northern Territory,1948,7786
Northern Territory,1949,8623
Northern Territory,1950,6936
Northern Territory,1951,7835
Northern Territory,1952,7070
Northern Territory,1953,6354
Northern Territory,1954,5569
Northern Territory,1955,413
Queensland,1846,310
Queensland,1847,624
Queensland,1848,811
Queensland,1849,700
Queensland,1850,779
Queensland,1851,740
Queensland,1852,715
Queensland,1853,822
Queensland,1854,804
Queensland,1855,895
Queensland,1856,2112
Queensland,1857,2388
Queensland,1858,4275
Queensland,1859,5078
Queensland,1860,7234
Queensland,1861,13132
Queensland,1862,17974
Queensland,1863,19610
Queensland,1864,22071
Queensland,1865,23170
Queensland,1866,25551
Queensland,1867,31415
Queensland,1868,35837
Queensland,1869,34507
Queensland,1870,37323
Queensland,1871,31751
Queensland,1872,35246
Queensland,1873,44352
Queensland,1874,45202
Queensland,1875,50421
Queensland,1876,56570
Queensland,1877,59504
Queensland,1878,65210
Queensland,1879,73354
Queensland,1880,82045
Queensland,1881,82008
Queensland,1882,87071
Queensland,1883,91600
Queensland,1884,98838
Queensland,1885,105047
Queensland,1886,124715
Queensland,1887,127029
Queensland,1888,143782
Queensland,1889,149998
Queensland,1890,162680
Queensland,1891,166919
Queensland,1892,184307
Queensland,1893,182790
Queensland,1894,183055
Queensland,1895,204815
Queensland,1896,224856
Queensland,1897,221242
Queensland,1898,227302
Queensland,1899,237530
Queensland,1900,331475
Queensland,1901,362521
Queensland,1902,363340
Queensland,1903,327397
Queensland,1904,417764
Queensland,1905,402100
Queensland,1906,382889
Queensland,1907,417674
Queensland,1908,472167
Queensland,1909,466747
Queensland,1910,513346
Queensland,1911,511315
Queensland,1912,566733
Queensland,1913,647556
Queensland,1914,650688
Queensland,1915,680097
Queensland,1916,604664
Queensland,1917,636795
Queensland,1918,579863
Queensland,1919,629199
Queensland,1920,537197
Queensland,1921,615029
Queensland,1922,652752
Queensland,1923,646971
Queensland,1924,725692
Queensland,1925,739167
Queensland,1926,785626
Queensland,1927,820848
Queensland,1928,819458
Queensland,1929,923203
Queensland,1930,916848
Queensland,1931,856908
Queensland,1932,836967
Queensland,1933,893117
Queensland,1934,882192
Queensland,1935,889945
Queensland,1936,915147
Queensland,1937,906079
Queensland,1938,899584
Queensland,1939,877471
Queensland,1940,704135
Queensland,1941,569399
Queensland,1942,460730
Queensland,1943,360641
Queensland,1944,361587
Queensland,1945,410521
Queensland,1946,482785
Queensland,1947,501488
Queensland,1948,414487
Queensland,1949,462067
Queensland,1950,447648
Queensland,1951,469707
Queensland,1952,438378
Queensland,1953,440795
Queensland,1954,435559
Queensland,1955,20660
Queensland,1956,13089
South Australia,1836,19
South Australia,1837,125
South Australia,1838,1015
South Australia,1839,1636
South Australia,1840,3659
South Australia,1841,3974
South Australia,1842,3390
South Australia,1843,6436
South Australia,1844,7850
South Australia,1845,8891
South Australia,1846,9465
South Australia,1847,9904
South Australia,1848,9577
South Australia,1849,11248
South Australia,1850,22771
South Australia,1851,25675
South Australia,1852,15281
South Australia,1853,17953
South Australia,1854,24602
South Australia,1855,35103
South Australia,1856,33976
South Australia,1857,31327
South Australia,1858,33345
South Australia,1859,42799
South Australia,1860,42050
South Australia,1861,44562
South Australia,1862,42311
South Australia,1863,43197
South Australia,1864,50983
South Australia,1865,52167
South Australia,1866,53291
South Australia,1867,55053
South Australia,1868,58303
South Australia,1869,66609
South Australia,1870,69647
South Australia,1871,71226
South Australia,1872,72172
South Australia,1873,74943
South Australia,1874,78750
South Australia,1875,78603
South Australia,1876,81815
South Australia,1877,85364
South Australia,1878,98779
South Australia,1879,102887
South Australia,1880,112536
South Australia,1881,127336
South Australia,1882,134244
South Australia,1883,141272
South Australia,1884,153556
South Australia,1885,164833
South Australia,1886,168601
South Australia,1887,171527
South Australia,1888,169338
South Australia,1889,181240
South Australia,1890,192714
South Australia,1891,194824
South Australia,1892,196475
South Australia,1893,198186
South Australia,1894,199461
South Australia,1895,204338
South Australia,1896,207736
South Australia,1897,207059
South Australia,1898,224346
South Australia,1899,232558
South Australia,1900,237052
South Australia,1901,250393
South Australia,1902,251639
South Australia,1903,265741
South Australia,1904,251437
South Australia,1905,260757
South Australia,1906,279481
South Australia,1907,288641
South Australia,1908,305123
South Australia,1909,309218
South Australia,1910,381642
South Australia,1911,385692
South Australia,1912,410362
South Australia,1913,403684
South Australia,1914,456144
South Australia,1915,440087
South Australia,1916,419499
South Australia,1917,399613
South Australia,1918,370108
South Australia,1919,364206
South Australia,1920,352363
South Australia,1921,375416
South Australia,1922,409275
South Australia,1923,448242
South Australia,1924,442898
South Australia,1925,442083
South Australia,1926,420122
South Australia,1927,425932
South Australia,1928,461746
South Australia,1929,451696
South Australia,1930,411176
South Australia,1931,297853
South Australia,1932,282056
South Australia,1933,286637
South Australia,1934,297493
South Australia,1935,305427
South Australia,1936,320441
South Australia,1937,321130
South Australia,1938,330553
South Australia,1939,317593
South Australia,1940,290607
South Australia,1941,256519
South Australia,1942,199524
South Australia,1943,172228
South Australia,1944,175288
South Australia,1945,188166
South Australia,1946,214455
South Australia,1947,230397
South Australia,1948,213315
South Australia,1949,244236
South Australia,1950,269677
South Australia,1951,232033
South Australia,1952,242027
South Australia,1953,258417
South Australia,1954,269920
South Australia,1955,5454
South Australia,1956,2440
South Australia,1957,2259
South Australia,1958,2615
South Australia,1959,2582
South Australia,1960,2394
South Australia,1961,2436
South Australia,1962,2383
South Australia,1963,2363
South Australia,1964,2622
South Australia,1965,2559
South Australia,1966,2539
South Australia,1967,2610
South Australia,1968,2606
South Australia,1969,2824
South Australia,1970,2693
South Australia,1971,2724
South Australia,1972,2561
South Australia,1973,2732
South Australia,1974,2930
South Australia,1975,3191
South Australia,1976,3749
South Australia,1977,3873
South Australia,1978,4065
South Australia,1979,5965
South Australia,1980,6804
South Australia,1981,6796
South Australia,1982,6736
South Australia,1983,7050
South Australia,1984,7907
South Australia,1985,9773
South Australia,1986,9655
South Australia,1987,11128
South Australia,1988,12044
South Australia,1989,11985
South Australia,1990,11460
South Australia,1991,11594
South Australia,1992,11910
South Australia,1993,12973
South Australia,1994,12952
South Australia,1995,11334
South Australia,1996,8267
South Australia,1997,8768
South Australia,1998,9255
South Australia,1999,10057
Tasmania,1810,5
Tasmania,1812,7
Tasmania,1816,159
Tasmania,1817,383
Tasmania,1818,460
Tasmania,1819,435
Tasmania,1820,460
Tasmania,1821,268
Tasmania,1822,212
Tasmania,1823,204
Tasmania,1824,436
Tasmania,1825,1211
Tasmania,1826,1338
Tasmania,1827,1129
Tasmania,1828,546
Tasmania,1829,1536
Tasmania,1830,1595
Tasmania,1831,1837
Tasmania,1832,2301
Tasmania,1833,2562
Tasmania,1834,4457
Tasmania,1835,4306
Tasmania,1836,4018
Tasmania,1837,3969
Tasmania,1838,4703
Tasmania,1839,4499
Tasmania,1840,6270
Tasmania,1841,6936
Tasmania,1842,9899
Tasmania,1843,8971
Tasmania,1844,10405
Tasmania,1845,15451
Tasmania,1846,12926
Tasmania,1847,10997
Tasmania,1848,11977
Tasmania,1849,11967
Tasmania,1850,12196
Tasmania,1851,11712
Tasmania,1852,11033
Tasmania,1853,14666
Tasmania,1854,17536
Tasmania,1855,25883
Tasmania,1856,27888
Tasmania,1857,22781
Tasmania,1858,21499
Tasmania,1859,18283
Tasmania,1860,16322
Tasmania,1861,18873
Tasmania,1862,22391
Tasmania,1863,20141
Tasmania,1864,17654
Tasmania,1865,18849
Tasmania,1866,28583
Tasmania,1867,17946
Tasmania,1868,17415
Tasmania,1869,19184
Tasmania,1870,20887
Tasmania,1871,20983
Tasmania,1872,23012
Tasmania,1873,26443
Tasmania,1874,28526
Tasmania,1875,31681
Tasmania,1876,32618
Tasmania,1877,33505
Tasmania,1878,47872
Tasmania,1879,44394
Tasmania,1880,28406
Tasmania,1881,34545
Tasmania,1882,35394
Tasmania,1883,41626
Tasmania,1884,65323
Tasmania,1885,68488
Tasmania,1886,66589
Tasmania,1887,70113
Tasmania,1888,90403
Tasmania,1889,101823
Tasmania,1890,109127
Tasmania,1891,115252
Tasmania,1892,124941
Tasmania,1893,129106
Tasmania,1894,122829
Tasmania,1895,123763
Tasmania,1896,124648
Tasmania,1897,133496
Tasmania,1898,143813
Tasmania,1899,162641
Tasmania,1900,175178
Tasmania,1901,166195
Tasmania,1902,158619
Tasmania,1903,186395
Tasmania,1904,187306
Tasmania,1905,235298
Tasmania,1906,243201
Tasmania,1907,230757
Tasmania,1908,277202
Tasmania,1909,284325
Tasmania,1910,313229
Tasmania,1911,312111
Tasmania,1912,312091
Tasmania,1913,271553
Tasmania,1914,255893
Tasmania,1915,297711
Tasmania,1916,297808
Tasmania,1917,270796
Tasmania,1918,276876
Tasmania,1919,277470
Tasmania,1920,265932
Tasmania,1921,289718
Tasmania,1922,301465
Tasmania,1923,318698
Tasmania,1924,307005
Tasmania,1925,261008
Tasmania,1926,244579
Tasmania,1927,223595
Tasmania,1928,200560
Tasmania,1929,208589
Tasmania,1930,170364
Tasmania,1931,164630
Tasmania,1932,175963
Tasmania,1933,182689
Tasmania,1934,215706
Tasmania,1935,187343
Tasmania,1936,203299
Tasmania,1937,220576
Tasmania,1938,222570
Tasmania,1939,219444
Tasmania,1940,194624
Tasmania,1941,172425
Tasmania,1942,145312
Tasmania,1943,130517
Tasmania,1944,133992
Tasmania,1945,178210
Tasmania,1946,174824
Tasmania,1947,182153
Tasmania,1948,147306
Tasmania,1949,189177
Tasmania,1950,184942
Tasmania,1951,166372
Tasmania,1952,169175
Tasmania,1953,161261
Tasmania,1954,167957
Tasmania,1955,1499
Tasmania,1980,448
Tasmania,1981,653
Tasmania,1982,902
Tasmania,1983,809
Tasmania,1984,981
Tasmania,1985,1023
Tasmania,1986,995
Tasmania,1987,1024
Tasmania,1988,1118
Tasmania,1989,1183
Tasmania,1990,1367
Tasmania,1991,1200
Tasmania,1992,1012
Tasmania,1993,1394
Tasmania,1994,1403
Tasmania,1995,1229
Victoria,1840,135
Victoria,1841,1327
Victoria,1842,1561
Victoria,1843,2072
Victoria,1844,2283
Victoria,1845,2070
Victoria,1846,3859
Victoria,1847,4185
Victoria,1848,5075
Victoria,1849,7612
Victoria,1850,10552
Victoria,1851,13504
Victoria,1852,10915
Victoria,1853,17045
Victoria,1854,25416
Victoria,1855,39242
Victoria,1856,41948
Victoria,1857,51849
Victoria,1858,51290
Victoria,1859,62673
Victoria,1860,63408
Victoria,1861,61864
Victoria,1862,62625
Victoria,1863,69644
Victoria,1864,73462
Victoria,1865,84443
Victoria,1866,85489
Victoria,1867,93981
Victoria,1868,92097
Victoria,1869,91185
Victoria,1870,93844
Victoria,1871,100149
Victoria,1872,93855
Victoria,1873,113823
Victoria,1874,111478
Victoria,1875,124946
Victoria,1876,122735
Victoria,1877,130505
Victoria,1878,143738
Victoria,1879,137457
Victoria,1880,142588
Victoria,1881,138934
Victoria,1882,196823
Victoria,1883,202603
Victoria,1884,211585
Victoria,1885,205420
Victoria,1886,228802
Victoria,1887,261208
Victoria,1888,261115
Victoria,1889,255575
Victoria,1890,266040
Victoria,1891,288640
Victoria,1892,285933
Victoria,1893,289615
Victoria,1894,299485
Victoria,1895,308941
Victoria,1896,303793
Victoria,1897,300084
Victoria,1898,316395
Victoria,1899,328204
Victoria,1900,372850
Victoria,1901,416713
Victoria,1902,413052
Victoria,1903,420222
Victoria,1904,440757
Victoria,1905,448724
Victoria,1906,464714
Victoria,1907,469509
Victoria,1908,457148
Victoria,1909,456088
Victoria,1910,484548
Victoria,1911,449856
Victoria,1912,474862
Victoria,1913,444695
Victoria,1914,1112862
Victoria,1915,1169600
Victoria,1916,1034573
Victoria,1917,958465
Victoria,1918,917177
Victoria,1919,304814
Victoria,1920,280988
Victoria,1921,275505
Victoria,1922,315848
Victoria,1923,291035
Victoria,1924,351468
Victoria,1925,360955
Victoria,1926,301514
Victoria,1927,314991
Victoria,1928,335288
Victoria,1929,342681
Victoria,1930,345040
Victoria,1931,315485
Victoria,1932,308329
Victoria,1933,333561
Victoria,1934,379275
Victoria,1935,384483
Victoria,1936,386744
Victoria,1937,387289
Victoria,1938,389695
Victoria,1939,362765
Victoria,1940,290325
Victoria,1941,252575
Victoria,1942,186884
Victoria,1943,158338
Victoria,1944,174875
Victoria,1945,179171
Victoria,1946,230687
Victoria,1947,228266
Victoria,1948,184218
Victoria,1949,228361
Victoria,1950,233968
Victoria,1951,220520
Victoria,1952,217243
Victoria,1953,220768
Victoria,1954,227259
Victoria,1955,71758
Victoria,1956,66397
Victoria,1957,3259
Victoria,1960,81
Victoria,1985,52
Western Australia,1833,568
Western Australia,1834,599
Western Australia,1835,512
Western Australia,1836,459
Western Australia,1837,445
Western Australia,1838,417
Western Australia,1839,443
Western Australia,1840,656
Western Australia,1841,1294
Western Australia,1842,1299
Western Australia,1843,1293
Western Australia,1844,1244
Western Australia,1845,1257
Western Australia,1846,1378
Western Australia,1847,1317
Western Australia,1848,1458
Western Australia,1849,1464
Western Australia,1850,1769
Western Australia,1851,1716
Western Australia,1852,1936
Western Australia,1853,1554
Western Australia,1854,1853
Western Australia,1855,2203
Western Australia,1856,2116
Western Australia,1857,1775
Western Australia,1858,1591
Western Australia,1859,1659
Western Australia,1860,1766
Western Australia,1861,1649
Western Australia,1862,1409
Western Australia,1863,1708
Western Australia,1864,2285
Western Australia,1865,1785
Western Australia,1866,1710
Western Australia,1867,3096
Western Australia,1868,3268
Western Australia,1869,3174
Western Australia,1870,3469
Western Australia,1871,3295
Western Australia,1872,3374
Western Australia,1873,3252
Western Australia,1874,3279
Western Australia,1875,4328
Western Australia,1876,4006
Western Australia,1877,4756
Western Australia,1878,6104
Western Australia,1879,6524
Western Australia,1880,6857
Western Australia,1881,6508
