state,year,total
ACT,1924,7
ACT,1925,457
ACT,1926,4506
ACT,1927,12071
ACT,1928,27646
ACT,1929,28485
ACT,1930,28393
ACT,1931,25582
ACT,1932,24668
ACT,1933,23362
ACT,1934,23425
ACT,1935,21861
ACT,1936,20446
ACT,1937,23521
ACT,1938,22398
ACT,1939,25782
ACT,1940,25021
ACT,1941,23440
ACT,1942,24680
ACT,1943,23392
ACT,1944,22386
ACT,1945,24117
ACT,1946,28498
ACT,1947,30053
ACT,1948,30702
ACT,1949,28692
ACT,1950,26479
ACT,1951,25890
ACT,1952,26887
ACT,1953,26373
ACT,1954,22517
ACT,1955,21979
ACT,1956,25821
ACT,1957,29525
ACT,1958,33508
ACT,1959,34114
ACT,1960,33911
ACT,1961,37666
ACT,1962,41688
ACT,1963,53341
ACT,1964,59943
ACT,1965,64789
ACT,1966,63984
ACT,1967,62896
ACT,1968,63906
ACT,1969,65561
ACT,1970,64189
ACT,1971,66765
ACT,1972,61694
ACT,1973,59528
ACT,1974,61443
ACT,1975,58575
ACT,1976,60360
ACT,1977,62319
ACT,1978,68391
ACT,1979,75396
ACT,1980,73349
ACT,1981,73070
ACT,1982,76922
ACT,1983,82910
ACT,1984,74120
ACT,1985,78702
ACT,1986,77160
ACT,1987,74870
ACT,1988,83171
ACT,1989,82512
ACT,1990,81543
ACT,1991,85022
ACT,1992,82242
ACT,1993,81020
ACT,1994,78559
ACT,1995,80121
ACT,1996,839
ACT,1997,838
ACT,1998,770
ACT,1999,99
New South Wales,1803,526
New South Wales,1804,619
New South Wales,1805,430
New South Wales,1806,367
New South Wales,1807,134
New South Wales,1808,155
New South Wales,1809,237
New South Wales,1810,269
New South Wales,1811,228
New South Wales,1812,208
New South Wales,1813,234
New South Wales,1814,201
New South Wales,1815,226
New South Wales,1816,485
New South Wales,1817,685
New South Wales,1818,789
New South Wales,1819,717
New South Wales,1820,815
New South Wales,1821,739
New South Wales,1822,821
New South Wales,1823,957
New South Wales,1824,1212
New South Wales,1825,2157
New South Wales,1826,3863
New South Wales,1827,5033
New South Wales,1828,5020
New South Wales,1829,6253
New South Wales,1830,5608
New South Wales,1831,6686
New South Wales,1832,8540
New South Wales,1833,8635
New South Wales,1834,10139
New South Wales,1835,11884
New South Wales,1836,12574
New South Wales,1837,13382
New South Wales,1838,13370
New South Wales,1839,15694
New South Wales,1840,20063
New South Wales,1841,19912
New South Wales,1842,16561
New South Wales,1843,17179
New South Wales,1844,20084
New South Wales,1845,18329
New South Wales,1846,17125
New South Wales,1847,20493
New South Wales,1848,17825
New South Wales,1849,15221
New South Wales,1850,16962
New South Wales,1851,28594
New South Wales,1852,30656
New South Wales,1853,30974
New South Wales,1854,35776
New South Wales,1855,42796
New South Wales,1856,50486
New South Wales,1857,54120
New South Wales,1858,49510
New South Wales,1859,52677
New South Wales,1860,62211
New South Wales,1861,63143
New South Wales,1862,61399
New South Wales,1863,58676
New South Wales,1864,61585
New South Wales,1865,64079
New South Wales,1866,64953
New South Wales,1867,62476
New South Wales,1868,62009
New South Wales,1869,68278
New South Wales,1870,87705
New South Wales,1871,86587
New South Wales,1872,97880
New South Wales,1873,98294
New South Wales,1874,108607
New South Wales,1875,101065
New South Wales,1876,104238
New South Wales,1877,110296
New South Wales,1878,124980
New South Wales,1879,144793
New South Wales,1880,146438
New South Wales,1881,152963
New South Wales,1882,156328
New South Wales,1883,158387
New South Wales,1884,182336
New South Wales,1885,207516
New South Wales,1886,224894
New South Wales,1887,210104
New South Wales,1888,218823
New South Wales,1889,275331
New South Wales,1890,314158
New South Wales,1891,317786
New South Wales,1892,335059
New South Wales,1893,342106
New South Wales,1894,351602
New South Wales,1895,392571
New South Wales,1896,430728
New South Wales,1897,426869
New South Wales,1898,495681
New South Wales,1899,586644
New South Wales,1900,651094
New South Wales,1901,668134
New South Wales,1902,680315
New South Wales,1903,678289
New South Wales,1904,703762
New South Wales,1905,726242
New South Wales,1906,762472
New South Wales,1907,821799
New South Wales,1908,779828
New South Wales,1909,806492
New South Wales,1910,842929
New South Wales,1911,973111
New South Wales,1912,1043948
New South Wales,1913,1047776
New South Wales,1914,1119528
New South Wales,1915,1074365
New South Wales,1916,991668
New South Wales,1917,883122
New South Wales,1918,834790
New South Wales,1919,844682
New South Wales,1920,749696
New South Wales,1921,738715
New South Wales,1922,734630
New South Wales,1923,792326
New South Wales,1924,808275
New South Wales,1925,814263
New South Wales,1926,807966
New South Wales,1927,831789
New South Wales,1928,848831
New South Wales,1929,908398
New South Wales,1930,874014
New South Wales,1931,781287
New South Wales,1932,741283
New South Wales,1933,759191
New South Wales,1934,762620
New South Wales,1935,753461
New South Wales,1936,797139
New South Wales,1937,787918
New South Wales,1938,787539
New South Wales,1939,740636
New South Wales,1940,601661
New South Wales,1941,558934
New South Wales,1942,454968
New South Wales,1943,428136
New South Wales,1944,435097
New South Wales,1945,487140
New South Wales,1946,523654
New South Wales,1947,507941
New South Wales,1948,453889
New South Wales,1949,498765
New South Wales,1950,550593
New South Wales,1951,515429
New South Wales,1952,512571
New South Wales,1953,532644
New South Wales,1954,532191
New South Wales,1955,49339
New South Wales,1956,14958
New South Wales,1957,16259
New South Wales,1958,16218
New South Wales,1959,14443
New South Wales,1960,14079
New South Wales,1961,12521
New South Wales,1962,12251
New South Wales,1963,6136
New South Wales,1964,5859
New South Wales,1965,6234
New South Wales,1966,5626
New South Wales,1967,5399
New South Wales,1968,6260
New South Wales,1969,5051
New South Wales,1970,5145
Northern Territory,1869,56
Northern Territory,1873,191
Northern Territory,1874,1409
Northern Territory,1875,1009
Northern Territory,1876,925
Northern Territory,1877,923
Northern Territory,1878,1270
Northern Territory,1879,1245
Northern Territory,1880,1346
Northern Territory,1881,1389
Northern Territory,1882,1560
Northern Territory,1883,2224
Northern Territory,1884,3827
Northern Territory,1885,3482
Northern Territory,1886,2920
Northern Territory,1887,3395
Northern Territory,1888,3326
Northern Territory,1889,3115
Northern Territory,1890,2396
Northern Territory,1891,2509
Northern Territory,1892,2624
Northern Territory,1893,2681
Northern Territory,1894,2623
Northern Territory,1895,2565
Northern Territory,1896,2490
Northern Territory,1897,2710
Northern Territory,1898,2759
Northern Territory,1899,3038
Northern Territory,1900,1952
Northern Territory,1901,2041
Northern Territory,1902,2136
Northern Territory,1903,1967
Northern Territory,1904,1927
Northern Territory,1905,1903
Northern Territory,1906,1707
Northern Territory,1907,2147
Northern Territory,1908,1910
Northern Territory,1909,1165
Northern Territory,1910,1161
Northern Territory,1911,1510
Northern Territory,1912,1340
Northern Territory,1913,2527
Northern Territory,1914,3497
Northern Territory,1915,3955
Northern Territory,1916,3532
Northern Territory,1917,4268
Northern Territory,1918,6320
Northern Territory,1919,6325
Northern Territory,1920,5101
Northern Territory,1921,10540
Northern Territory,1922,8064
Northern Territory,1923,7906
Northern Territory,1924,7776
Northern Territory,1925,7582
Northern Territory,1926,6829
Northern Territory,1927,9170
Northern Territory,1928,10375
Northern Territory,1929,10258
Northern Territory,1930,10320
Northern Territory,1931,11302
Northern Territory,1932,9111
Northern Territory,1933,6565
Northern Territory,1934,7336
Northern Territory,1935,7506
Northern Territory,1936,8610
Northern Territory,1937,7504
Northern Territory,1938,7260
Northern Territory,1939,8055
Northern Territory,1940,6551
Northern Territory,1941,6534
Northern Territory,1942,4634
Northern Territory,1943,9842
Northern Territory,1944,20643
Northern Territory,1945,22097
Northern Territory,1946,1942
Northern Territory,1947,6137
Northern Territory,1948,7786
Northern Territory,1949,8623
Northern Territory,1950,6936
Northern Territory,1951,7835
Northern Territory,1952,7070
Northern Territory,1953,6354
Northern Territory,1954,5569
Northern Territory,1955,413
Queensland,1846,310
Queensland,1847,624
Queensland,1848,811
Queensland,1849,700
Queensland,1850,779
Queensland,1851,740
Queensland,1852,715
Queensland,1853,822
Queensland,1854,804
Queensland,1855,895
Queensland,1856,2112
Queensland,1857,2388
Queensland,1858,4275
Queensland,1859,5078
Queensland,1860,7234
Queensland,1861,12794
Queensland,1862,17440
Queensland,1863,19269
Queensland,1864,21610
Queensland,1865,22273
Queensland,1866,24407
Queensland,1867,29226
Queensland,1868,31055
Queensland,1869,29791
Queensland,1870,32015
Queensland,1871,28612
Queensland,1872,29917
Queensland,1873,32929
Queensland,1874,34095
Queensland,1875,38638
Queensland,1876,39778
Queensland,1877,42880
Queensland,1878,43142
Queensland,1879,50465
Queensland,1880,58390
Queensland,1881,50303
Queensland,1882,55041
Queensland,1883,64123
Queensland,1884,67751
Queensland,1885,69611
Queensland,1886,77041
Queensland,1887,77883
Queensland,1888,85429
Queensland,1889,86779
Queensland,1890,86230
Queensland,1891,97005
Queensland,1892,112565
Queensland,1893,113078
Queensland,1894,108977
Queensland,1895,125187
Queensland,1896,143234
Queensland,1897,140957
Queensland,1898,146008
Queensland,1899,152008
Queensland,1900,194872
Queensland,1901,217547
Queensland,1902,200903
Queensland,1903,185009
Queensland,1904,238493
Queensland,1905,240795
Queensland,1906,199533
Queensland,1907,244593
Queensland,1908,283336
Queensland,1909,261488
Queensland,1910,271267
Queensland,1911,278372
Queensland,1912,321547
Queensland,1913,341653
Queensland,1914,348700
Queensland,1915,374583
Queensland,1916,344308
Queensland,1917,352336
Queensland,1918,315629
Queensland,1919,314232
Queensland,1920,283526
Queensland,1921,282570
Queensland,1922,322758
Queensland,1923,363930
Queensland,1924,385552
Queensland,1925,382687
Queensland,1926,411788
Queensland,1927,441669
Queensland,1928,453716
Queensland,1929,482160
Queensland,1930,504640
Queensland,1931,494842
Queensland,1932,488073
Queensland,1933,503620
Queensland,1934,495128
Queensland,1935,497009
Queensland,1936,490288
Queensland,1937,524705
Queensland,1938,518245
Queensland,1939,503579
Queensland,1940,407464
Queensland,1941,350403
Queensland,1942,289908
Queensland,1943,227559
Queensland,1944,238312
Queensland,1945,263310
Queensland,1946,304344
Queensland,1947,310583
Queensland,1948,283445
Queensland,1949,313187
Queensland,1950,323807
Queensland,1951,319091
Queensland,1952,326990
Queensland,1953,329051
Queensland,1954,326127
Queensland,1955,20660
Queensland,1956,13089
South Australia,1836,19
South Australia,1837,125
South Australia,1838,1015
South Australia,1839,1559
South Australia,1840,2762
South Australia,1841,2979
South Australia,1842,3047
South Australia,1843,5497
South Australia,1844,6401
South Australia,1845,6503
South Australia,1846,6170
South Australia,1847,6974
South Australia,1848,6505
South Australia,1849,5920
South Australia,1850,11743
South Australia,1851,12263
South Australia,1852,11057
South Australia,1853,8438
South Australia,1854,12584
South Australia,1855,17798
South Australia,1856,16749
South Australia,1857,16506
South Australia,1858,24071
South Australia,1859,36511
South Australia,1860,36257
South Australia,1861,38496
South Australia,1862,36512
South Australia,1863,35958
South Australia,1864,37082
South Australia,1865,37281
South Australia,1866,39614
South Australia,1867,38614
South Australia,1868,43397
South Australia,1869,44072
South Australia,1870,46602
South Australia,1871,46926
South Australia,1872,47846
South Australia,1873,49164
South Australia,1874,51590
South Australia,1875,50864
South Australia,1876,54608
South Australia,1877,55780
South Australia,1878,62610
South Australia,1879,64521
South Australia,1880,71246
South Australia,1881,80868
South Australia,1882,83757
South Australia,1883,88437
South Australia,1884,93734
South Australia,1885,98053
South Australia,1886,100727
South Australia,1887,100632
South Australia,1888,100474
South Australia,1889,106054
South Australia,1890,113283
South Australia,1891,114434
South Australia,1892,116538
South Australia,1893,115984
South Australia,1894,119696
South Australia,1895,122422
South Australia,1896,124035
South Australia,1897,126165
South Australia,1898,134036
South Australia,1899,141210
South Australia,1900,145843
South Australia,1901,150743
South Australia,1902,157006
South Australia,1903,170468
South Australia,1904,151523
South Australia,1905,155816
South Australia,1906,163829
South Australia,1907,171928
South Australia,1908,175116
South Australia,1909,184324
South Australia,1910,259112
South Australia,1911,262657
South Australia,1912,276421
South Australia,1913,269152
South Australia,1914,303018
South Australia,1915,279520
South Australia,1916,272518
South Australia,1917,260273
South Australia,1918,249435
South Australia,1919,250383
South Australia,1920,248589
South Australia,1921,272557
South Australia,1922,291005
South Australia,1923,348352
South Australia,1924,372596
South Australia,1925,377531
South Australia,1926,361687
South Australia,1927,367898
South Australia,1928,397603
South Australia,1929,383326
South Australia,1930,345195
South Australia,1931,260200
South Australia,1932,249124
South Australia,1933,254128
South Australia,1934,263761
South Australia,1935,269597
South Australia,1936,284472
South Australia,1937,285353
South Australia,1938,293268
South Australia,1939,278246
South Australia,1940,250089
South Australia,1941,220334
South Australia,1942,171091
South Australia,1943,145334
South Australia,1944,148410
South Australia,1945,160116
South Australia,1946,181429
South Australia,1947,191896
South Australia,1948,172978
South Australia,1949,204004
South Australia,1950,229898
South Australia,1951,205288
South Australia,1952,216839
South Australia,1953,231587
South Australia,1954,241868
Tasmania,1816,159
Tasmania,1817,383
Tasmania,1818,460
Tasmania,1819,435
Tasmania,1820,460
Tasmania,1821,268
Tasmania,1822,212
Tasmania,1823,204
Tasmania,1824,436
Tasmania,1825,1211
Tasmania,1826,1338
Tasmania,1827,1129
Tasmania,1828,546
Tasmania,1829,1536
Tasmania,1830,1595
Tasmania,1831,1837
Tasmania,1832,1942
Tasmania,1833,1718
Tasmania,1834,2194
Tasmania,1835,2881
Tasmania,1836,3083
Tasmania,1837,2987
Tasmania,1838,3791
Tasmania,1839,4499
Tasmania,1840,5576
Tasmania,1841,6467
Tasmania,1842,9455
Tasmania,1843,8971
Tasmania,1844,9694
Tasmania,1845,15451
Tasmania,1846,12926
Tasmania,1847,10179
Tasmania,1848,10044
Tasmania,1849,10146
Tasmania,1850,10199
Tasmania,1851,9461
Tasmania,1852,8694
Tasmania,1853,13054
Tasmania,1854,16362
Tasmania,1855,20827
Tasmania,1856,21201
Tasmania,1857,16920
Tasmania,1858,19102
Tasmania,1859,18283
Tasmania,1860,16322
Tasmania,1861,18873
Tasmania,1862,22391
Tasmania,1863,20141
Tasmania,1864,17654
Tasmania,1865,17748
Tasmania,1866,20125
Tasmania,1867,17946
Tasmania,1868,17415
Tasmania,1869,19184
Tasmania,1870,20887
Tasmania,1871,17726
Tasmania,1872,16536
Tasmania,1873,17962
Tasmania,1874,18561
Tasmania,1875,19497
Tasmania,1876,20731
Tasmania,1877,21090
Tasmania,1878,33395
Tasmania,1879,32180
Tasmania,1880,25677
Tasmania,1881,24203
Tasmania,1882,24709
Tasmania,1883,29544
Tasmania,1884,42627
Tasmania,1885,45934
Tasmania,1886,43650
Tasmania,1887,41646
Tasmania,1888,52031
Tasmania,1889,59732
Tasmania,1890,64220
Tasmania,1891,75975
Tasmania,1892,85476
Tasmania,1893,91501
Tasmania,1894,89646
Tasmania,1895,88533
Tasmania,1896,98760
Tasmania,1897,108128
Tasmania,1898,117124
Tasmania,1899,135145
Tasmania,1900,146094
Tasmania,1901,138982
Tasmania,1902,134647
Tasmania,1903,162014
Tasmania,1904,159862
Tasmania,1905,199063
Tasmania,1906,199771
Tasmania,1907,181663
Tasmania,1908,195440
Tasmania,1909,184219
Tasmania,1910,206610
Tasmania,1911,206874
Tasmania,1912,226327
Tasmania,1913,185442
Tasmania,1914,174108
Tasmania,1915,210204
Tasmania,1916,208543
Tasmania,1917,208417
Tasmania,1918,223105
Tasmania,1919,224598
Tasmania,1920,220661
Tasmania,1921,242373
Tasmania,1922,249102
Tasmania,1923,259927
Tasmania,1924,277005
Tasmania,1925,256743
Tasmania,1926,239902
Tasmania,1927,219218
Tasmania,1928,195957
Tasmania,1929,203996
Tasmania,1930,165842
Tasmania,1931,160495
Tasmania,1932,171946
Tasmania,1933,178647
Tasmania,1934,211481
Tasmania,1935,182727
Tasmania,1936,198563
Tasmania,1937,215893
Tasmania,1938,218043
Tasmania,1939,215205
Tasmania,1940,190191
Tasmania,1941,168609
Tasmania,1942,141731
Tasmania,1943,127011
Tasmania,1944,130664
Tasmania,1945,173844
Tasmania,1946,169806
Tasmania,1947,179101
Tasmania,1948,144631
Tasmania,1949,186524
Tasmania,1950,182470
Tasmania,1951,163742
Tasmania,1952,166629
Tasmania,1953,156948
Tasmania,1954,163603
Victoria,1840,135
Victoria,1841,1327
Victoria,1842,1561
Victoria,1843,2072
Victoria,1844,2283
Victoria,1845,2070
Victoria,1846,3859
Victoria,1847,4185
Victoria,1848,5075
Victoria,1849,7612
Victoria,1850,10552
Victoria,1851,13504
Victoria,1852,10915
Victoria,1853,15603
Victoria,1854,20603
Victoria,1855,37164
Victoria,1856,38662
Victoria,1857,45223
Victoria,1858,44024
Victoria,1859,54624
Victoria,1860,53489
Victoria,1861,48741
Victoria,1862,49740
Victoria,1863,54166
Victoria,1864,55896
Victoria,1865,68017
Victoria,1866,68062
Victoria,1867,64715
Victoria,1868,55713
Victoria,1869,56488
Victoria,1870,50116
Victoria,1871,47163
Victoria,1872,45944
Victoria,1873,54285
Victoria,1874,54889
Victoria,1875,64139
Victoria,1876,61057
Victoria,1877,64691
Victoria,1878,68725
Victoria,1879,70116
Victoria,1880,70590
Victoria,1881,72006
Victoria,1882,112149
Victoria,1883,116123
Victoria,1884,121512
Victoria,1885,116697
Victoria,1886,129749
Victoria,1887,148464
Victoria,1888,152056
Victoria,1889,156773
Victoria,1890,163219
Victoria,1891,179562
Victoria,1892,169335
Victoria,1893,170471
Victoria,1894,174560
Victoria,1895,182618
Victoria,1896,175474
Victoria,1897,180688
Victoria,1898,191251
Victoria,1899,196904
Victoria,1900,208608
Victoria,1901,231446
Victoria,1902,234656
Victoria,1903,244239
Victoria,1904,259947
Victoria,1905,259736
Victoria,1906,272213
Victoria,1907,280863
Victoria,1908,285228
Victoria,1909,298461
Victoria,1910,319107
Victoria,1911,286714
Victoria,1912,302901
Victoria,1913,278482
Victoria,1914,1023494
Victoria,1915,1160734
Victoria,1916,1027491
Victoria,1917,950163
Victoria,1918,908737
Victoria,1919,191790
Victoria,1920,145184
Victoria,1921,128441
Victoria,1922,139805
Victoria,1923,135863
Victoria,1924,186436
Victoria,1925,269796
Victoria,1926,177808
Victoria,1927,156279
Victoria,1928,162815
Victoria,1929,166528
Victoria,1930,163213
Victoria,1931,149430
Victoria,1932,145563
Victoria,1933,164882
Victoria,1934,189706
Victoria,1935,194958
Victoria,1936,193073
Victoria,1937,188560
Victoria,1938,190706
Victoria,1939,183276
Victoria,1940,142753
Victoria,1941,130805
Victoria,1942,102486
Victoria,1943,79497
Victoria,1944,89958
Victoria,1945,93739
Victoria,1946,121313
Victoria,1947,120079
Victoria,1948,98834
Victoria,1949,119227
Victoria,1950,116266
Victoria,1951,110825
Victoria,1952,112046
Victoria,1953,116834
Victoria,1954,120558
Victoria,1955,71758
Victoria,1956,66397
Victoria,1957,3259
Western Australia,1833,568
Western Australia,1834,599
Western Australia,1835,512
Western Australia,1836,459
Western Australia,1837,445
Western Australia,1838,417
Western Australia,1839,443
Western Australia,1840,656
Western Australia,1841,1294
Western Australia,1842,1299
Western Australia,1843,1293
Western Australia,1844,1244
Western Australia,1845,1257
Western Australia,1846,1378
Western Australia,1847,1317
Western Australia,1848,1458
Western Australia,1849,1464
Western Australia,1850,1769
Western Australia,1851,1716
Western Australia,1852,1936
Western Australia,1853,1554
Western Australia,1854,1853
Western Australia,1855,2203
Western Australia,1856,2116
Western Australia,1857,1775
Western Australia,1858,1591
Western Australia,1859,1659
Western Australia,1860,1766
Western Australia,1861,1649
Western Australia,1862,1409
Western Australia,1863,1708
Western Australia,1864,2285
Western Australia,1865,1785
Western Australia,1866,1710
Western Australia,1867,3096
Western Australia,1868,3268
Western Australia,1869,3174
Western Australia,1870,3469
Western Australia,1871,3295
Western Australia,1872,3374
Western Australia,1873,3252
Western Australia,1874,3279
Western Australia,1875,4328
Western Australia,1876,4006
Western Australia,1877,4756
Western Australia,1878,5849
Western Australia,1879,5645
Western Australia,1880,5522
Western Australia,1881,5472
Western Australia,1882,7212
Western Australia,1883,9431
Western Australia,1884,10734
Western Australia,1885,21538
Western Australia,1886,24544
Western Australia,1887,24682
Western Australia,1888,28135
Western Australia,1889,30194
Western Australia,1890,31609
Western Australia,1891,40049
Western Australia,1892,47058
Western Australia,1893,49623
Western Australia,1894,55629
Western Australia,1895,59576
Western Australia,1896,91683
Western Australia,1897,125100
Western Australia,1898,156229
Western Australia,1899,154168
Western Australia,1900,153329
Western Australia,1901,142669
Western Australia,1902,142236
Western Australia,1903,176333
Western Australia,1904,203290
Western Australia,1905,225690
Western Australia,1906,217032
Western Australia,1907,209676
Western Australia,1908,222914
Western Australia,1909,222303
Western Australia,1910,240891
Western Australia,1911,255907
Western Australia,1912,253069
Western Australia,1913,246184
Western Australia,1914,269710
Western Australia,1915,253952
Western Australia,1916,232542
Western Australia,1917,226597
Western Australia,1918,218887
Western Australia,1919,230523
Western Australia,1920,214368
Western Australia,1921,214700
Western Australia,1922,215795
Western Australia,1923,245559
Western Australia,1924,261344
Western Australia,1925,265372
Western Australia,1926,264962
Western Australia,1927,272744
Western Australia,1928,306699
Western Australia,1929,337140
Western Australia,1930,313087
Western Australia,1931,302194
Western Australia,1932,312414
Western Australia,1933,323951
Western Australia,1934,323589
Western Australia,1935,348926
Western Australia,1936,346719
Western Australia,1937,351335
Western Australia,1938,327827
Western Australia,1939,295174
Western Australia,1940,244909
Western Australia,1941,245573
Western Australia,1942,179417
Western Australia,1943,161369
Western Australia,1944,170180
Western Australia,1945,192934
Western Australia,1946,235113
Western Australia,1947,256211
Western Australia,1948,260015
Western Australia,1949,254503
Western Australia,1950,241719
Western Australia,1951,104701
Western Australia,1952,110737
Western Australia,1953,111840
Western Australia,1954,109504
Western Australia,1955,9731
Western Australia,1956,2873
National,1933,6540
National,1934,11280
National,1935,11895
